nodes,ppn,threads,80x64,160x128,320x256,640x512,1280x1024,2560x2048,5120x4096
1,1,4,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1,2,2,1.76,1.40,2.81,1.25,3.75,1.24,1.21
1,2,4,1.76,1.82,1.48,1.21,1.43,1.23,1.21
2,2,8,0.43,1.65,2.76,1.52,14.62,19.13,1.22
2,4,4,0.37,1.41,7.26,10.31,14.63,19.20,11.12
2,8,2,0.35,0.68,10.95,15.68,7.94,10.01,21.66
2,8,4,0.39,1.44,9.43,17.81,1.43,1.26,21.77
8,32,2,0.39,0.05,0.54,3.12,6.88,28.12,83.87
8,32,4,0.31,0.07,0.43,2.27,3.52,10.41,30.61
8,16,4,0.00,0.08,0.41,1.71,3.77,12.15,44.90
8,8,8,0.21,0.39,2.27,10.95,25.39,66.68,103.84
16,64,2,0.01,0.03,0.29,2.15,6.25,28.20,106.34
16,64,4,0.01,0.03,0.33,1.80,5.13,18.83,46.59
16,32,4,0.03,0.06,0.32,1.18,4.52,18.73,57.18
16,16,8,0.31,0.04,0.39,1.58,4.30,23.20,44.95
