nodes, ppn, threads, 80x64, 160x128, 320x256, 640x512, 1280x1024, 2560x2048, 5120x4096
1, 1, 4, 0.017807, 0.076955, 0.849709, 6.237978, 18.845583, 94.873767, 419.162658
1, 2, 2, 0.010130, 0.054823, 0.302259, 4.974396, 5.028509, 76.641657, 346.727030
1, 2, 4, 0.010141, 0.042359, 0.573377, 5.160128, 13.141330, 77.193930, 346.580322
2, 2, 8, 0.041168, 0.046581, 0.307811, 4.093556, 1.288874, 4.958769, 343.488488
2, 4, 4, 0.048170, 0.054576, 0.117058, 0.605236, 1.287806, 4.941937, 37.707930
2, 8, 2, 0.050319, 0.113991, 0.077582, 0.397800, 2.373664, 9.473987, 19.348335
2, 8, 4, 0.045401, 0.053395, 0.090122, 0.350299, 13.168804, 75.159566, 19.255832
8, 32, 2, 0.0451497, 1.458103, 1.566198, 2.001983, 2.741039, 3.373491, 4.997810
8, 32, 4, 0.0571659, 1.054486, 1.977853, 2.744596, 5.358996, 9.114651, 13.694557
8, 16, 4, 6.149755, 0.994236, 2.094377, 3.649588, 5.001397, 7.811678, 9.335702
8, 8, 8, 0.084391, 0.197436, 0.374159, 0.569843, 0.742369, 1.422739, 4.036750
16, 64, 2, 2.547896, 2.784369, 2.974612, 2.897413, 3.014716, 3.364197, 3.941678
16, 64, 4, 1.557396, 2.317885, 2.569332, 3.468102, 3.671539, 5.039125, 8.997672
16, 32, 4, 0.686951, 1.247556, 2.648337, 5.276559, 4.168227, 5.066149, 7.330571
16, 16, 8, 0.0579463, 1.722579, 2.165993, 3.943687, 4.379551, 4.089271, 9.325899
